Date,Close
2017-10-10,22830.679688
2017-10-11,22872.890625
2017-10-12,22841.009766
2017-10-13,22871.720703
2017-10-16,22956.960938
2017-10-17,22997.439453
2017-10-18,23157.599609
2017-10-19,23163.039063
2017-10-20,23328.630859
2017-10-23,23273.960938
2017-10-24,23441.759766
2017-10-25,23329.460938
2017-10-26,23400.859375
2017-10-27,23434.189453
2017-10-30,23348.740234
2017-10-31,23377.240234
2017-11-01,23435.009766
2017-11-02,23516.259766
2017-11-03,23539.189453
2017-11-06,23548.419922
2017-11-07,23557.230469
2017-11-08,23563.359375
2017-11-09,23461.939453
2017-11-10,23422.210938
2017-11-13,23439.699219
2017-11-14,23409.470703
2017-11-15,23271.279297
2017-11-16,23458.359375
2017-11-17,23358.240234
2017-11-20,23430.330078
2017-11-21,23590.830078
2017-11-22,23526.179688
2017-11-24,23557.990234
2017-11-27,23580.779297
2017-11-28,23836.710938
2017-11-29,23940.679688
2017-11-30,24272.349609
2017-12-01,24231.589844
2017-12-04,24290.050781
2017-12-05,24180.640625
2017-12-06,24140.910156
2017-12-07,24211.480469
2017-12-08,24329.160156
2017-12-11,24386.029297
2017-12-12,24504.800781
2017-12-13,24585.429688
2017-12-14,24508.660156
2017-12-15,24651.740234
2017-12-18,24792.199219
2017-12-19,24754.75
2017-12-20,24726.650391
2017-12-21,24782.289063
2017-12-22,24754.060547
2017-12-26,24746.210938
2017-12-27,24774.300781
2017-12-28,24837.509766
2017-12-29,24719.220703
2018-01-02,24824.009766
2018-01-03,24922.679688
2018-01-04,25075.130859
2018-01-05,25295.869141
2018-01-08,25283
2018-01-09,25385.800781
2018-01-10,25369.130859
2018-01-11,25574.730469
2018-01-12,25803.189453
2018-01-16,25792.859375
2018-01-17,26115.650391
2018-01-18,26017.810547
2018-01-19,26071.720703
2018-01-22,26214.599609
2018-01-23,26210.810547
2018-01-24,26252.119141
2018-01-25,26392.789063
2018-01-26,26616.710938
2018-01-29,26439.480469
2018-01-30,26076.890625
2018-01-31,26149.390625
2018-02-01,26186.710938
2018-02-02,25520.960938
2018-02-05,24345.75
2018-02-06,24912.769531
2018-02-07,24893.349609
2018-02-08,23860.460938
2018-02-09,24190.900391
2018-02-12,24601.269531
2018-02-13,24640.449219
2018-02-14,24893.490234
2018-02-15,25200.369141
2018-02-16,25219.380859
2018-02-20,24964.75
2018-02-21,24797.779297
2018-02-22,24962.480469
2018-02-23,25309.990234
2018-02-26,25709.269531
2018-02-27,25410.029297
2018-02-28,25029.199219
2018-03-01,24608.980469
2018-03-02,24538.060547
2018-03-05,24874.759766
2018-03-06,24884.119141
2018-03-07,24801.359375
2018-03-08,24895.210938
2018-03-09,25335.740234
2018-03-12,25178.609375
2018-03-13,25007.029297
2018-03-14,24758.119141
2018-03-15,24873.660156
2018-03-16,24946.509766
2018-03-19,24610.910156
2018-03-20,24727.269531
2018-03-21,24682.310547
2018-03-22,23957.890625
2018-03-23,23533.199219
2018-03-26,24202.599609
2018-03-27,23857.710938
2018-03-28,23848.419922
2018-03-29,24103.109375
2018-04-02,23644.189453
2018-04-03,24033.359375
2018-04-04,24264.300781
2018-04-05,24505.220703
2018-04-06,23932.759766
2018-04-09,23979.099609
2018-04-10,24408
2018-04-11,24189.449219
2018-04-12,24483.050781
2018-04-13,24360.140625
2018-04-16,24573.039063
2018-04-17,24786.630859
2018-04-18,24748.070313
2018-04-19,24664.890625
2018-04-20,24462.939453
2018-04-23,24448.689453
2018-04-24,24024.130859
2018-04-25,24083.830078
2018-04-26,24322.339844
2018-04-27,24311.189453
2018-04-30,24163.150391
2018-05-01,24099.050781
2018-05-02,23924.980469
2018-05-03,23930.150391
2018-05-04,24262.509766
2018-05-07,24357.320313
2018-05-08,24360.210938
2018-05-09,24542.539063
2018-05-10,24739.529297
2018-05-11,24831.169922
2018-05-14,24899.410156
2018-05-15,24706.410156
2018-05-16,24768.929688
2018-05-17,24713.980469
2018-05-18,24715.089844
2018-05-21,25013.289063
2018-05-22,24834.410156
2018-05-23,24886.810547
2018-05-24,24811.759766
2018-05-25,24753.089844
2018-05-29,24361.449219
2018-05-30,24667.779297
2018-05-31,24415.839844
2018-06-01,24635.210938
2018-06-04,24813.689453
2018-06-05,24799.980469
2018-06-06,25146.390625
2018-06-07,25241.410156
2018-06-08,25316.529297
2018-06-11,25322.310547
2018-06-12,25320.730469
2018-06-13,25201.199219
2018-06-14,25175.310547
2018-06-15,25090.480469
2018-06-18,24987.470703
2018-06-19,24700.210938
2018-06-20,24657.800781
2018-06-21,24461.699219
2018-06-22,24580.890625
2018-06-25,24252.800781
2018-06-26,24283.109375
2018-06-27,24117.589844
2018-06-28,24216.050781
2018-06-29,24271.410156
2018-07-02,24307.179688
2018-07-03,24174.820313
2018-07-05,24356.740234
2018-07-06,24456.480469
2018-07-09,24776.589844
2018-07-10,24919.660156
2018-07-11,24700.449219
2018-07-12,24924.890625
2018-07-13,25019.410156
2018-07-16,25064.359375
2018-07-17,25119.890625
2018-07-18,25199.289063
2018-07-19,25064.5
2018-07-20,25058.119141
2018-07-23,25044.289063
2018-07-24,25241.939453
2018-07-25,25414.099609
2018-07-26,25527.070313
2018-07-27,25451.060547
2018-07-30,25306.830078
2018-07-31,25415.189453
2018-08-01,25333.820313
2018-08-02,25326.160156
2018-08-03,25462.580078
2018-08-06,25502.179688
2018-08-07,25628.910156
2018-08-08,25583.75
2018-08-09,25509.230469
2018-08-10,25313.140625
2018-08-13,25187.699219
2018-08-14,25299.919922
2018-08-15,25162.410156
2018-08-16,25558.730469
2018-08-17,25669.320313
2018-08-20,25758.689453
2018-08-21,25822.289063
2018-08-22,25733.599609
2018-08-23,25656.980469
2018-08-24,25790.349609
2018-08-27,26049.640625
2018-08-28,26064.019531
2018-08-29,26124.570313
2018-08-30,25986.919922
2018-08-31,25964.820313
2018-09-04,25952.480469
2018-09-05,25974.990234
2018-09-06,25995.869141
2018-09-07,25916.539063
2018-09-10,25857.070313
2018-09-11,25971.060547
2018-09-12,25998.919922
2018-09-13,26145.990234
2018-09-14,26154.669922
2018-09-17,26062.119141
2018-09-18,26246.960938
2018-09-19,26405.759766
2018-09-20,26656.980469
2018-09-21,26743.5
2018-09-24,26562.050781
2018-09-25,26492.210938
2018-09-26,26385.279297
2018-09-27,26439.929688
2018-09-28,26458.310547
2018-10-01,26651.210938
2018-10-02,26773.939453
2018-10-03,26828.390625
2018-10-04,26627.480469
2018-10-05,26447.050781
2018-10-08,26486.779297
2018-10-09,26430.570313
